,track_id,track,track_popularity,data_added,top_year,album_name,album_release_year,genre,artists_name,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
58,4cKGldbhGJniI8BrB3K6tb,Everything You Want,64.0,2020-08-07T08:16:37Z,2000.0,Everything You Want,1999-06-14,[],Vertical Horizon,257066.0,0.636,0.761,-6.389,0.0306,0.0517,0.0,0.0642,0.736,93.896
59,1sjrDQXqAa9V07FjKIlAQ4,Hemorrhage (In My Hands),63.0,2020-08-07T08:16:37Z,2000.0,Hemorrhage (In My Hands),2000-09-19,[],Fuel,236866.0,0.301,0.823,-4.072,0.0433,0.000144,0.000309,0.0833,0.372,152.017
60,3PbHle8KhJp6GuO1jLdEmQ,Be Like That,63.0,2020-08-07T08:16:37Z,2000.0,Be Like That,2000,[],3 Doors Down,265906.0,0.487,0.702,-6.043,0.0238,0.00528,4.97e-06,0.129,0.306,95.982
61,5s4catxeZsaWFnOrvrXZHf,That's the Way It Is,63.0,2020-08-07T08:16:37Z,2000.0,That's the Way It Is,2019-01-18,[],Céline Dion,241373.0,0.634,0.886,-5.424,0.0434,0.154,0.0,0.118,0.577,93.04
62,4pV49P2v3sxI0XYjUTmOl1,Shalala Lala,62.0,2020-08-07T08:16:37Z,2000.0,Shalala Lala,2000-03-13,[],Vengaboys,214819.0,0.751,0.901,-5.802,0.0328,0.0504,0.00308,0.0395,0.973,124.017
63,4Do68W4FWO2hRAJCzG1lus,I Turn to You,63.0,2020-08-07T08:16:37Z,2000.0,I Turn to You,1999,[],Christina Aguilera,273706.0,0.599,0.47,-8.356,0.0376,0.38,0.0,0.111,0.298,127.177
64,1vlTMKVV0FxG6CxGTmSY3t,Life Is A Rollercoaster,62.0,2020-08-07T08:16:37Z,2000.0,Life Is A Rollercoaster,2000-01-01,[],Ronan Keating,234826.0,0.655,0.791,-8.923,0.0302,0.1,0.000124,0.334,0.862,118.981
65,0UzsDmdpw0Q14KU4hieQss,Fill Me In,62.0,2020-08-07T08:16:37Z,2000.0,Fill Me In,2000-08-14,[],Craig David,257200.0,0.682,0.744,-6.981,0.0365,0.376,0.00951,0.06,0.827,132.493
66,1RS3LStQYhju50eBdD9Uul,Thank God I Found You (feat. Joe & 98°),61.0,2020-08-07T08:16:37Z,2000.0,Thank God I Found You (feat. Joe & 98°),1999-11-02,[],"Mariah Carey,Joe,98º",257360.0,0.348,0.532,-5.882,0.0331,0.592,0.0,0.106,0.148,129.297
67,0s46SltT4On0Z6kglK1I5c,I Just Wanna Love U (Give It 2 Me),61.0,2020-08-07T08:16:37Z,2000.0,I Just Wanna Love U (Give It 2 Me),2000-10-31,[],JAY-Z,227866.0,0.8,0.922,-5.125,0.24,0.301,9.31e-06,0.0352,0.801,98.631
68,046MBhhgQJJghnbgZCkaAR,I Need You,61.0,2020-08-07T08:16:37Z,2000.0,I Need You,2001-01-30,[],LeAnn Rimes,229826.0,0.478,0.736,-7.124,0.0367,0.02,9.58e-05,0.118,0.564,144.705
69,2uZwyxrg6VPvlVsvclIfel,Where I Wanna Be,60.0,2020-08-07T08:16:37Z,2000.0,Where I Wanna Be,1999-05-29,[],Donell Jones,253626.0,0.664,0.396,-9.131,0.0298,0.52,0.0,0.268,0.453,102.053
70,1uPrIHgYztXSkkcts9jet8,She Bangs - English Version,60.0,2020-08-07T08:16:37Z,2000.0,She Bangs - English Version,2000,[],Ricky Martin,280626.0,0.63,0.95,-4.012,0.0806,0.000915,6.51e-06,0.373,0.858,143.866
71,79EAVfOpzgfHx3IE2BVFQv,Never Be The Same Again,60.0,2020-08-07T08:16:37Z,2000.0,Never Be The Same Again,1999,[],"Melanie C,Lisa ""Left Eye"" Lopes",294200.0,0.689,0.685,-5.153,0.0478,0.0921,0.0,0.119,0.398,160.067
72,6PS1YRjdJ5Muakh2oh0UB2,Against All Odds (Take A Look at Me Now) - Mariah Only,61.0,2020-08-07T08:16:37Z,2000.0,Against All Odds (Take A Look at Me Now) - Mariah Only,2000-08-08,[],Mariah Carey,201933.0,0.542,0.498,-6.332,0.0299,0.49,0.0,0.101,0.218,117.763
73,2N4viTG9njqCa4c46YyWs1,Be With You,59.0,2020-08-07T08:16:37Z,2000.0,Be With You,1999-01-01,[],Enrique Iglesias,219360.0,0.683,0.866,-5.436,0.0329,0.0395,0.00161,0.0483,0.542,121.996
74,0HNXnhNZZtRZFLhP4hfyCP,Hey Baby (Radio Mix),59.0,2020-08-07T08:16:37Z,2000.0,Hey Baby (Radio Mix),2010-04-25,[],DJ Ötzi,219240.0,0.666,0.968,-3.196,0.046,0.123,0.0,0.347,0.834,135.099
75,2WfhlEjoUII31H6imnQdvF,No More,59.0,2020-08-07T08:16:37Z,2000.0,No More,2000-08-22,[],Ruff Endz,242560.0,0.839,0.641,-5.669,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004
76,63nkNgHkmfgjElTEnCzKYU,Rise,59.0,2020-08-07T08:16:37Z,2000.0,Rise,2001-01-01,[],GABRIELLE,219093.0,0.558,0.481,-9.487,0.026,0.315,8.83e-06,0.09,0.631,144.673
77,3cqZlRpC4lOnxUE7HE3N5k,Move Your Body - Gabry Ponte Original Radio Edit,59.0,2020-08-07T08:16:37Z,2000.0,Move Your Body - Gabry Ponte Original Radio Edit,1999,[],"Eiffel 65,Gabry Ponte",268863.0,0.745,0.958,-9.664,0.0287,0.0813,0.324,0.533,0.96,129.962
78,1PmHkalaUHhh0fz23SBHDL,Let's Get Married,59.0,2020-08-07T08:16:37Z,2000.0,Let's Get Married,2000-01-18,[],Jagged Edge,263226.0,0.761,0.627,-5.554,0.0538,0.175,0.0,0.128,0.891,109.821
